feature_id,table_name,feature,data_type,grain,category,business_definition,calculation,role,modeling_usage,caution,documentation_status
cohort_lead_summary.cohort_ML,cohort_lead_summary,cohort_ML,object,cohort-customer lead tier,Cohort,Business-readable cohort label mapped from the numeric cluster.,"Rule-based label from cluster-level sales, activity, recency, product breadth, and Salesforce quantiles.",Model output,,,Exact
cohort_lead_summary.customer_lead_tier,cohort_lead_summary,customer_lead_tier,category,cohort-customer lead tier,Customer priority,Customer-level priority tier based on the best recommendation.,"qcut(rank(customer_top_lead_score), 40% Cold / 40% Warm / 20% Hot) across customers.",Business output,,,Exact
cohort_lead_summary.avg_top_expected_revenue,cohort_lead_summary,avg_top_expected_revenue,float64,cohort-customer lead tier,Summary,Mean Top-1 expected revenue proxy in the summary group.,MEAN(customer_top_expected_revenue).,Summary metric,,,Exact
cohort_lead_summary.avg_top_lead_score,cohort_lead_summary,avg_top_lead_score,float64,cohort-customer lead tier,Summary,Mean Top-1 customer lead score in the summary group.,MEAN(customer_top_lead_score).,Summary metric,,,Exact
cohort_lead_summary.customers,cohort_lead_summary,customers,int64,cohort-customer lead tier,Summary,Number of distinct customers in the summary group.,NUNIQUE(ID_Customer).,Summary metric,,,Exact
cust_prod_matrix_grp_1.ID_Customer,cust_prod_matrix_grp_1,ID_Customer,object,customer,Identifier,Unique customer identifier.,Source-system customer key; no calculation.,Key,Excluded from model features; used for joins and output grain.,,Exact
cust_prod_matrix_grp_1.purchase_flag_grp1_Automation Modules,cust_prod_matrix_grp_1,purchase_flag_grp1_Automation Modules,int64,customer,Model target,Historical purchase indicator for Automation Modules at grp1 level.,"MAX(1 if Units > 0 for Automation Modules, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_1.purchase_flag_grp1_Core Products,cust_prod_matrix_grp_1,purchase_flag_grp1_Core Products,int64,customer,Model target,Historical purchase indicator for Core Products at grp1 level.,"MAX(1 if Units > 0 for Core Products, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_1.purchase_flag_grp1_Maintenance Kits,cust_prod_matrix_grp_1,purchase_flag_grp1_Maintenance Kits,int64,customer,Model target,Historical purchase indicator for Maintenance Kits at grp1 level.,"MAX(1 if Units > 0 for Maintenance Kits, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_1.purchase_flag_grp1_Premium Products,cust_prod_matrix_grp_1,purchase_flag_grp1_Premium Products,int64,customer,Model target,Historical purchase indicator for Premium Products at grp1 level.,"MAX(1 if Units > 0 for Premium Products, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_1.purchase_flag_grp1_Safety Solutions,cust_prod_matrix_grp_1,purchase_flag_grp1_Safety Solutions,int64,customer,Model target,Historical purchase indicator for Safety Solutions at grp1 level.,"MAX(1 if Units > 0 for Safety Solutions, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_1.purchase_flag_grp1_Service Contracts,cust_prod_matrix_grp_1,purchase_flag_grp1_Service Contracts,int64,customer,Model target,Historical purchase indicator for Service Contracts at grp1 level.,"MAX(1 if Units > 0 for Service Contracts, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.ID_Customer,cust_prod_matrix_grp_3,ID_Customer,object,customer,Identifier,Unique customer identifier.,Source-system customer key; no calculation.,Key,Excluded from model features; used for joins and output grain.,,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Calibration Kits Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Calibration Kits Type 1,int64,customer,Model target,Historical purchase indicator for Calibration Kits Type 1 at grp3 level.,"MAX(1 if Units > 0 for Calibration Kits Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Calibration Kits Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Calibration Kits Type 2,int64,customer,Model target,Historical purchase indicator for Calibration Kits Type 2 at grp3 level.,"MAX(1 if Units > 0 for Calibration Kits Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Compliance Safety Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Compliance Safety Type 1,int64,customer,Model target,Historical purchase indicator for Compliance Safety Type 1 at grp3 level.,"MAX(1 if Units > 0 for Compliance Safety Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Compliance Safety Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Compliance Safety Type 2,int64,customer,Model target,Historical purchase indicator for Compliance Safety Type 2 at grp3 level.,"MAX(1 if Units > 0 for Compliance Safety Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Controllers Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Controllers Type 1,int64,customer,Model target,Historical purchase indicator for Controllers Type 1 at grp3 level.,"MAX(1 if Units > 0 for Controllers Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Controllers Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Controllers Type 2,int64,customer,Model target,Historical purchase indicator for Controllers Type 2 at grp3 level.,"MAX(1 if Units > 0 for Controllers Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
