ID_Customer,Customer_Name,Customer_Segment,Customer_Size,Industry,Region_CC,Region_OC,Country,Acquisition_Channel,Customer_Start_Date
C00001,BrightPath Distribution AG 0001,Distributor,Very Large,Logistics,Southern Europe,Central,Italy,Inbound,2023-02-01
C00002,Silverline Supplies BV 0002,SMB,Small,Food & Beverage,Southern Europe,West,Germany,Partner,2022-05-01
C00003,Northstar Technologies Ltd 0003,SMB,Large,Construction,Western Europe,North,Netherlands,Website,2022-02-01
C00004,Greenfield Trading Group 0004,Mid-Market,Large,Manufacturing,Benelux,South,Belgium,Partner,2021-10-01
C00005,Greenfield Retail Group BV 0005,SMB,Medium,Retail,Western Europe,North,Netherlands,Website,2020-12-01
C00006,BrightPath Industries AG 0006,Distributor,Large,Manufacturing,DACH,West,Germany,Website,2021-02-01
C00007,Northstar Distribution BV 0007,Mid-Market,Medium,Energy,Western Europe,North,Italy,Outbound Sales,2020-08-01
C00008,Everline Retail Group AG 0008,Mid-Market,Medium,Manufacturing,DACH,West,Spain,Website,2023-01-01
C00009,Vertex Systems GmbH 0009,Mid-Market,Medium,Healthcare,Western Europe,Central,Netherlands,Trade Fair,2021-12-01
C00010,UrbanGrid Retail Group Group 0010,SMB,Small,Healthcare,Benelux,Central,Germany,Website,2022-04-01
C00011,ClearView Retail Group BV 0011,Enterprise,Medium,Retail,Western Europe,North,Netherlands,Outbound Sales,2021-01-01
C00012,ClearView Logistics GmbH 0012,Mid-Market,Large,Logistics,Southern Europe,South,Spain,Website,2023-09-01
C00013,NovaCore Trading SRL 0013,Enterprise,Very Large,Manufacturing,Western Europe,South,Germany,Trade Fair,2021-03-01
C00014,Prime Medical AG 0014,Distributor,Very Large,Retail,Benelux,Central,Netherlands,Referral,2023-08-01
C00015,Silverline Logistics AG 0015,SMB,Small,Logistics,Benelux,East,Netherlands,Website,2022-03-01
C00016,BluePeak Trading Group 0016,Mid-Market,Large,Healthcare,DACH,West,Germany,Partner,2022-02-01
C00017,Atlas Logistics SAS 0017,Mid-Market,Large,Healthcare,DACH,Central,Belgium,Outbound Sales,2021-01-01
C00018,Redwood Technologies AG 0018,Enterprise,Large,Public Administration,Benelux,East,Italy,Partner,2021-06-01
C00019,Silverline Manufacturing AG 0019,Enterprise,Very Large,Retail,Western Europe,South,Germany,Website,2021-02-01
C00020,BrightPath Distribution Group 0020,Mid-Market,Large,Construction,DACH,North,Italy,Trade Fair,2022-11-01
C00021,Everline Manufacturing BV 0021,Distributor,Small,Construction,Southern Europe,South,Switzerland,Website,2022-05-01
C00022,IronBridge Retail Group Group 0022,Mid-Market,Large,Construction,Western Europe,West,Netherlands,Outbound Sales,2021-08-01
C00023,Greenfield Retail Group SRL 0023,Mid-Market,Medium,Manufacturing,DACH,South,Germany,Outbound Sales,2022-10-01
C00024,Vertex Retail Group AG 0024,SMB,Medium,Healthcare,DACH,West,Italy,Website,2020-11-01
C00025,Vertex Medical SRL 0025,Mid-Market,Large,Technology,DACH,Central,Belgium,Outbound Sales,2021-03-01
C00026,BrightPath Trading Group 0026,SMB,Small,Construction,Benelux,South,Switzerland,Partner,2022-03-01
C00027,UrbanGrid Medical LLC 0027,SMB,Medium,Retail,Benelux,West,Germany,Referral,2020-09-01
C00028,Vertex Medical Ltd 0028,SMB,Small,Construction,Western Europe,South,Germany,Outbound Sales,2021-06-01
C00029,Silverline Technologies AG 0029,Distributor,Very Large,Manufacturing,Southern Europe,North,Germany,Unknown,2024-06-01
C00030,UrbanGrid Partners Ltd 0030,Public Sector,Medium,Manufacturing,DACH,North,France,Referral,2022-09-01
C00031,NovaCore Trading AG 0031,Mid-Market,Very Large,Energy,Western Europe,East,Germany,Trade Fair,2020-08-01
C00032,Greenfield Retail Group GmbH 0032,SMB,Very Large,Automotive,DACH,East,Netherlands,Partner,2022-01-01
C00033,UrbanGrid Technologies Group 0033,Enterprise,Very Large,Retail,DACH,West,Austria,Referral,2020-08-01
C00034,Nexora Trading Ltd 0034,SMB,Medium,Manufacturing,DACH,North,Switzerland,Inbound,2022-01-01
C00035,Nexora Trading GmbH 0035,Mid-Market,Large,Manufacturing,Benelux,Central,Italy,Partner,2021-09-01
C00036,Redwood Trading BV 0036,Distributor,Medium,Construction,Southern Europe,East,Spain,Outbound Sales,2023-08-01
C00037,Silverline Trading AG 0037,Mid-Market,Medium,Technology,Southern Europe,South,Germany,Website,2022-03-01
C00038,Everline Partners LLC 0038,Enterprise,Very Large,Construction,DACH,South,France,Trade Fair,2020-09-01
C00039,Atlas Manufacturing GmbH 0039,Mid-Market,Large,Logistics,DACH,West,Netherlands,Partner,2022-02-01
C00040,Summit Retail Group Ltd 0040,Mid-Market,Medium,Technology,Western Europe,South,Austria,Partner,2022-09-01
C00041,Greenfield Retail Group AG 0041,SMB,Small,Manufacturing,Benelux,East,Germany,Unknown,2021-02-01
C00042,Northstar Trading Group 0042,Public Sector,Small,Healthcare,DACH,East,Italy,Inbound,2024-03-01
C00043,IronBridge Logistics Ltd 0043,Enterprise,Very Large,Retail,Western Europe,South,France,Website,2022-11-01
C00044,Summit Systems AG 0044,Public Sector,Small,Manufacturing,Southern Europe,Central,Germany,Partner,2022-06-01
C00045,BluePeak Distribution Group 0045,Public Sector,Small,Construction,DACH,Central,France,Partner,2020-12-01
C00046,BrightPath Systems SRL 0046,SMB,Large,Construction,DACH,North,France,Website,2021-01-01
C00047,Summit Services LLC 0047,SMB,Small,Construction,DACH,South,France,Partner,2022-04-01
C00048,Nexora Industries SAS 0048,SMB,Small,Energy,DACH,North,Netherlands,Trade Fair,2024-10-01
C00049,Everline Services AG 0049,Mid-Market,Medium,Logistics,Southern Europe,North,Spain,Website,2024-07-01
C00050,UrbanGrid Energy Group 0050,Mid-Market,Very Large,Logistics,DACH,West,Germany,Referral,2021-08-01
C00051,UrbanGrid Partners Ltd 0051,SMB,Small,Manufacturing,Western Europe,South,Austria,Inbound,2024-08-01
C00052,ClearView Technologies AG 0052,SMB,Small,Logistics,Western Europe,Central,Belgium,Outbound Sales,2021-02-01
C00053,NovaCore Services SAS 0053,Enterprise,Very Large,Construction,DACH,South,Netherlands,Inbound,2021-04-01
C00054,Northstar Partners BV 0054,Distributor,Very Large,Retail,Western Europe,West,France,Inbound,2022-12-01
C00055,IronBridge Partners AG 0055,SMB,Small,Energy,DACH,North,Germany,Outbound Sales,2020-09-01
C00056,BluePeak Distribution SRL 0056,Enterprise,Very Large,Construction,Benelux,West,Austria,Partner,2022-06-01
C00057,Northstar Trading SRL 0057,Mid-Market,Small,Logistics,DACH,Central,Belgium,Inbound,2021-06-01
C00058,Silverline Retail Group BV 0058,Public Sector,Large,Manufacturing,Benelux,East,Germany,Outbound Sales,2020-09-01
C00059,Prime Partners AG 0059,Mid-Market,Small,Automotive,Benelux,West,France,Referral,2023-07-01
C00060,Vertex Supplies SAS 0060,Public Sector,Large,Automotive,Benelux,Central,Germany,Trade Fair,2022-11-01
C00061,BluePeak Systems SRL 0061,SMB,Small,Construction,Southern Europe,East,France,Website,2021-09-01
C00062,ClearView Solutions SAS 0062,SMB,Small,Manufacturing,Benelux,Central,Germany,Outbound Sales,2022-11-01
C00063,Nexora Services Ltd 0063,Enterprise,Large,Manufacturing,Western Europe,South,Germany,Referral,2021-10-01
C00064,BrightPath Solutions SAS 0064,SMB,Medium,Automotive,Benelux,South,France,Referral,2021-09-01
C00065,Silverline Manufacturing LLC 0065,SMB,Small,Retail,Southern Europe,North,Italy,Website,2021-12-01
C00066,UrbanGrid Manufacturing Ltd 0066,Mid-Market,Medium,Logistics,Western Europe,East,Netherlands,Partner,2022-07-01
C00067,NovaCore Partners GmbH 0067,Enterprise,Very Large,Healthcare,Benelux,East,Italy,Inbound,2020-08-01
C00068,Prime Technologies LLC 0068,Distributor,Large,Public Administration,DACH,West,France,Trade Fair,2021-11-01
C00069,Northstar Retail Group SAS 0069,Public Sector,Medium,Construction,DACH,West,Austria,Inbound,2021-07-01
C00070,BluePeak Systems Group 0070,Mid-Market,Large,Technology,DACH,North,Switzerland,Outbound Sales,2024-01-01
C00071,Nexora Technologies SAS 0071,SMB,Medium,Technology,DACH,South,Spain,Outbound Sales,2021-03-01
C00072,Redwood Distribution SRL 0072,Enterprise,Very Large,Technology,Southern Europe,East,Germany,Referral,2022-06-01
C00073,Prime Services LLC 0073,Mid-Market,Medium,Manufacturing,DACH,South,Netherlands,Inbound,2021-04-01
C00074,UrbanGrid Logistics SAS 0074,Mid-Market,Medium,Retail,Western Europe,Central,Germany,Website,2022-12-01
C00075,BluePeak Energy GmbH 0075,SMB,Medium,Food & Beverage,Western Europe,East,Austria,Outbound Sales,2021-03-01
C00076,BluePeak Technologies LLC 0076,SMB,Small,Public Administration,Benelux,Central,Germany,Outbound Sales,2024-06-01
C00077,IronBridge Distribution Ltd 0077,Mid-Market,Medium,Energy,DACH,North,Switzerland,Inbound,2024-10-01
C00078,Prime Technologies Group 0078,Public Sector,Medium,Public Administration,Benelux,North,Spain,Trade Fair,2023-04-01
C00079,Summit Partners SAS 0079,Distributor,Medium,Healthcare,DACH,West,Belgium,Referral,2023-01-01
C00080,Everline Services GmbH 0080,Mid-Market,Large,Healthcare,DACH,East,Germany,Referral,2022-03-01
C00081,NovaCore Logistics SAS 0081,Enterprise,Large,Technology,Benelux,West,France,Trade Fair,2023-05-01
C00082,Atlas Systems LLC 0082,Public Sector,Medium,Construction,DACH,East,Switzerland,Outbound Sales,2024-10-01
C00083,Redwood Distribution Ltd 0083,Mid-Market,Medium,Retail,DACH,South,Austria,Inbound,2021-09-01
C00084,Northstar Systems AG 0084,Public Sector,Medium,Healthcare,Western Europe,West,Austria,Outbound Sales,2022-06-01
C00085,ClearView Supplies Ltd 0085,Distributor,Very Large,Food & Beverage,Western Europe,West,Germany,Inbound,2020-12-01
C00086,IronBridge Partners SRL 0086,Distributor,Very Large,Technology,Southern Europe,West,France,Outbound Sales,2022-08-01
C00087,Summit Technologies LLC 0087,Enterprise,Large,Logistics,Benelux,South,Netherlands,Trade Fair,2020-12-01
C00088,Atlas Technologies Group 0088,SMB,Small,Healthcare,Benelux,South,Austria,Partner,2023-01-01
C00089,Vertex Supplies LLC 0089,Mid-Market,Very Large,Manufacturing,DACH,Central,France,Website,2022-11-01
C00090,ClearView Partners GmbH 0090,Mid-Market,Large,Retail,DACH,West,Italy,Partner,2020-09-01
C00091,Summit Logistics Group 0091,SMB,Small,Retail,DACH,West,Switzerland,Outbound Sales,2020-12-01
C00092,Redwood Technologies AG 0092,Distributor,Large,Food & Beverage,DACH,North,Germany,Website,2022-01-01
C00093,BrightPath Industries SRL 0093,SMB,Medium,Technology,DACH,Central,Netherlands,Referral,2022-10-01
C00094,UrbanGrid Technologies Ltd 0094,Mid-Market,Large,Manufacturing,DACH,South,Belgium,Inbound,2021-05-01
C00095,ClearView Retail Group BV 0095,Enterprise,Medium,Automotive,Southern Europe,West,Germany,Website,2021-10-01
C00096,BluePeak Trading SAS 0096,SMB,Small,Technology,DACH,North,France,Outbound Sales,2023-11-01
C00097,UrbanGrid Retail Group AG 0097,Distributor,Medium,Technology,DACH,West,Austria,Website,2021-02-01
C00098,BrightPath Distribution AG 0098,Mid-Market,Large,Retail,DACH,West,Netherlands,Trade Fair,2022-04-01
C00099,Everline Solutions Ltd 0099,SMB,Small,Construction,Southern Europe,South,France,Referral,2021-07-01
C00100,Atlas Services Group 0100,SMB,Medium,Construction,Western Europe,West,Netherlands,Trade Fair,2021-12-01
C00101,IronBridge Manufacturing Group 0101,Enterprise,Very Large,Construction,Western Europe,North,Switzerland,Outbound Sales,2021-11-01
C00102,Atlas Industries AG 0102,Enterprise,Small,Construction,DACH,Central,Spain,Inbound,2020-09-01
C00103,Silverline Solutions AG 0103,SMB,Small,Energy,Western Europe,West,France,Referral,2021-08-01
C00104,NovaCore Retail Group Group 0104,Public Sector,Medium,Retail,Benelux,East,Germany,Partner,2024-03-01
C00105,Vertex Partners SAS 0105,Distributor,Very Large,Healthcare,Benelux,Central,Netherlands,Unknown,2022-07-01
C00106,IronBridge Distribution SRL 0106,Distributor,Medium,Retail,Western Europe,West,Netherlands,Outbound Sales,2022-08-01
C00107,Prime Systems LLC 0107,Mid-Market,Medium,Healthcare,Western Europe,North,Austria,Outbound Sales,2022-12-01
C00108,NovaCore Technologies GmbH 0108,Mid-Market,Large,Healthcare,Southern Europe,North,Germany,Partner,2020-10-01
C00109,Northstar Supplies AG 0109,Mid-Market,Medium,Manufacturing,Benelux,East,Austria,Inbound,2022-10-01
C00110,BrightPath Supplies Ltd 0110,Mid-Market,Large,Technology,Western Europe,South,Italy,Outbound Sales,2020-11-01
C00111,Greenfield Solutions BV 0111,Enterprise,Large,Technology,Southern Europe,Central,Germany,Unknown,2021-09-01
C00112,Prime Distribution SAS 0112,Enterprise,Large,Energy,Western Europe,North,Germany,Referral,2020-12-01
C00113,Everline Supplies GmbH 0113,Public Sector,Medium,Automotive,Southern Europe,Central,Germany,Website,2021-10-01
C00114,NovaCore Manufacturing SAS 0114,Public Sector,Large,Manufacturing,Western Europe,North,Austria,Trade Fair,2020-09-01
C00115,Vertex Services Group 0115,Enterprise,Very Large,Food & Beverage,Southern Europe,South,Netherlands,Inbound,2021-09-01
C00116,Greenfield Logistics AG 0116,Mid-Market,Medium,Automotive,DACH,West,Spain,Website,2024-07-01
C00117,Greenfield Energy LLC 0117,Mid-Market,Large,Automotive,DACH,East,Germany,Trade Fair,2020-12-01
C00118,Northstar Manufacturing LLC 0118,Mid-Market,Medium,Food & Beverage,Southern Europe,North,Netherlands,Website,2022-03-01
C00119,IronBridge Medical SAS 0119,SMB,Small,Manufacturing,Western Europe,South,Spain,Partner,2020-09-01
C00120,Redwood Systems SAS 0120,Mid-Market,Small,Energy,DACH,East,France,Outbound Sales,2022-09-01
C00121,Greenfield Supplies LLC 0121,Distributor,Large,Logistics,Western Europe,North,Italy,Referral,2023-01-01
C00122,Redwood Supplies SRL 0122,Public Sector,Small,Energy,Benelux,Central,Spain,Inbound,2024-05-01
C00123,Northstar Systems SAS 0123,Mid-Market,Large,Manufacturing,Southern Europe,South,France,Partner,2022-08-01
C00124,Vertex Technologies BV 0124,Public Sector,Medium,Manufacturing,DACH,East,Germany,Website,2020-08-01
C00125,BrightPath Systems Ltd 0125,SMB,Large,Healthcare,Benelux,South,Netherlands,Partner,2022-09-01
C00126,Prime Retail Group SRL 0126,Public Sector,Medium,Retail,DACH,West,Germany,Outbound Sales,2021-09-01
C00127,Northstar Distribution Ltd 0127,Mid-Market,Medium,Technology,Benelux,South,Netherlands,Unknown,2024-07-01
C00128,Vertex Technologies Group 0128,SMB,Small,Healthcare,Western Europe,West,Spain,Trade Fair,2022-07-01
C00129,Redwood Trading SAS 0129,Public Sector,Medium,Manufacturing,DACH,Central,Netherlands,Outbound Sales,2020-09-01
C00130,Nexora Solutions Ltd 0130,Enterprise,Medium,Healthcare,DACH,South,Germany,Outbound Sales,2021-07-01
C00131,NovaCore Partners Ltd 0131,Mid-Market,Small,Manufacturing,Western Europe,East,Germany,Outbound Sales,2022-08-01
C00132,BluePeak Retail Group SRL 0132,SMB,Medium,Food & Beverage,DACH,Central,Switzerland,Inbound,2020-10-01
C00133,Greenfield Retail Group SRL 0133,Public Sector,Large,Manufacturing,Western Europe,Central,Italy,Inbound,2021-01-01
C00134,Summit Technologies SAS 0134,Mid-Market,Medium,Manufacturing,Benelux,South,France,Website,2024-10-01
C00135,Northstar Trading LLC 0135,Mid-Market,Medium,Logistics,Western Europe,South,France,Referral,2023-12-01
C00136,Silverline Systems Group 0136,Mid-Market,Very Large,Public Administration,DACH,Central,Belgium,Partner,2022-03-01
C00137,Vertex Industries Ltd 0137,Mid-Market,Very Large,Manufacturing,Southern Europe,North,Netherlands,Partner,2021-10-01
C00138,Vertex Trading Ltd 0138,Mid-Market,Large,Manufacturing,Western Europe,West,Switzerland,Partner,2021-08-01
C00139,Vertex Manufacturing LLC 0139,Enterprise,Medium,Automotive,DACH,Unknown,France,Website,2022-04-01
C00140,Vertex Trading BV 0140,Public Sector,Medium,Retail,DACH,West,France,Inbound,2020-10-01
C00141,Redwood Partners Group 0141,Enterprise,Very Large,Retail,Benelux,North,Italy,Outbound Sales,2020-11-01
C00142,Vertex Energy SAS 0142,Mid-Market,Large,Retail,DACH,South,Germany,Partner,2023-12-01
C00143,Vertex Partners Ltd 0143,Mid-Market,Medium,Logistics,Benelux,West,Spain,Inbound,2024-01-01
C00144,BrightPath Supplies GmbH 0144,Mid-Market,Large,Automotive,Southern Europe,East,France,Trade Fair,2021-10-01
C00145,IronBridge Services GmbH 0145,Distributor,Large,Energy,Western Europe,South,Spain,Website,2022-10-01
C00146,Vertex Trading SRL 0146,SMB,Small,Healthcare,Benelux,West,France,Outbound Sales,2022-12-01
C00147,Vertex Energy GmbH 0147,Mid-Market,Very Large,Technology,Southern Europe,North,Italy,Inbound,2024-02-01
C00148,Summit Systems Ltd 0148,SMB,Large,Technology,Western Europe,East,Netherlands,Partner,2020-11-01
C00149,Silverline Medical Ltd 0149,Distributor,Very Large,Manufacturing,Southern Europe,East,France,Website,2023-08-01
